,DDEC,EQeq,Qeq
203,-0.314511,-0.25000,-0.250956
204,-0.491142,-0.37800,-0.250956
205,-0.534499,-0.44200,-0.250956
206,-0.443378,-0.38400,-0.250956
207,-0.517872,-0.43000,-0.250956
208,-0.595621,-0.51000,-0.250956
209,-0.657056,-0.63500,-0.250956
210,-0.557662,-0.40300,-0.250956
211,-0.549615,-0.44200,-0.250956
212,-0.314511,-0.23700,-0.250956
213,-0.491142,-0.38100,-0.250956
214,-0.534499,-0.41900,-0.250956
215,-0.443378,-0.36300,-0.250956
216,-0.517872,-0.42800,-0.250956
217,-0.595621,-0.47900,-0.250956
218,-0.657056,-0.61700,-0.250956
219,-0.557662,-0.46700,-0.250956
220,-0.549615,-0.44700,-0.250956
221,-0.314511,-0.24200,-0.250956
222,-0.491142,-0.38700,-0.250956
223,-0.534499,-0.42300,-0.250956
224,-0.443378,-0.36500,-0.250956
225,-0.517872,-0.43200,-0.250956
226,-0.595621,-0.53500,-0.250956
227,-0.657056,-0.61800,-0.250956
228,-0.557662,-0.44200,-0.250956
229,-0.549615,-0.44700,-0.250956
230,-0.314511,-0.25400,-0.250956
231,-0.491142,-0.40100,-0.250956
232,-0.534499,-0.44400,-0.250956
233,-0.443378,-0.38600,-0.250956
234,-0.517872,-0.43200,-0.250956
235,-0.595621,-0.51100,-0.250956
236,-0.657056,-0.63100,-0.250956
237,-0.557662,-0.43800,-0.250956
238,-0.549615,-0.44700,-0.250956
239,-0.314511,-0.22300,-0.250956
240,-0.491142,-0.35100,-0.250956
241,-0.534499,-0.39700,-0.250956
242,-0.443378,-0.33900,-0.250956
243,-0.517872,-0.42900,-0.250956
244,-0.606351,-0.46000,-0.250956
245,-0.565385,-0.44800,-0.250956
246,-0.602165,-0.46600,-0.250956
247,-0.592273,-0.47200,-0.250956
248,-0.584413,-0.45300,-0.250956
249,-0.60606,-0.46500,-0.250956
250,-0.605642,-0.46800,-0.250956
251,-0.571705,-0.44800,-0.250956
252,-0.606351,-0.46000,-0.250956
253,-0.565385,-0.44800,-0.250956
254,-0.602165,-0.46600,-0.250956
255,-0.592273,-0.47200,-0.250956
256,-0.584413,-0.45300,-0.291955
257,-0.60606,-0.46500,-0.291955
258,-0.595839,-0.49600,-0.291955
259,-0.61676,-0.47600,-0.291955
260,-0.623841,-0.45600,-0.291955
261,-0.616491,-0.48100,-0.291955
262,-0.595839,-0.49600,-0.291955
263,-0.61676,-0.47700,-0.291955
264,-0.623841,-0.45500,-0.291955
265,-0.616491,-0.48000,-0.291955
266,-0.595839,-0.49600,-0.291955
267,-0.61676,-0.47600,-0.291955
268,-0.623841,-0.45600,-0.291955
269,-0.616491,-0.48100,-0.291955
270,-0.595839,-0.49600,-0.291955
271,-0.61676,-0.47700,-0.291955
272,-0.623841,-0.45500,-0.292733
273,-0.616491,-0.48000,-0.292733
274,-0.443746,-0.37200,-0.292733
275,-0.226511,-0.17200,-0.292733
276,-0.509745,-0.34400,-0.292733
277,-0.518152,-0.37700,-0.292733
278,-0.507417,-0.30500,-0.292733
279,-0.546794,-0.44500,-0.292733
280,-0.799895,-0.33200,-0.292733
