,density,cp,qs1CO2,qs2CO2,b01CO2,b02CO2,H1CO2,H2CO2,qs1N2,qs2N2,b01N2,b02N2,H1N2,H2N2,material,Forcefield
264,589.428,719.527237,12.5,12.5,2.88E-07,2.88E-07,31330.54066,31329.68598,12.5,12.5,0.000302561,0.000302561,8145.875329,8145.875329,LAWGOG,UFF_DDEC
265,1195.06,804.602549,0.610269025,6.592966243,5.16E-06,5.16E-06,40672.37868,28989.12651,0.610269025,6.592966243,8.25E-05,8.25E-05,15023.81149,15023.81149,UBACUX,UFF_DDEC
266,2086.32,617.72193,1.282538039,2.060631433,4.10E-07,4.10E-07,26906.48494,26906.48493,1.282538039,2.060631433,0.00034877,0.00034877,6018.280807,6018.280807,LIHRIE,UFF_DDEC
267,1438.73,909.765658,2.307361902,0.940404302,2.99E-07,2.99E-07,43701.94242,24785.75178,2.307361902,0.940404302,2.78E-06,2.78E-06,23162.69073,23162.69073,RAXDAX,UFF_DDEC
268,589.235,682.403875,12.5,12.5,6.42E-05,6.42E-05,17096.42377,15386.7814,12.5,12.5,0.000295597,0.000295597,8234.652097,8234.652097,MIBQAR,UFF_DDEC
269,1120.75,735.4545,10.61580181,2.605100541,6.34E-06,6.34E-06,27224.5077,27223.89555,10.61580181,2.605100541,0.000136588,0.000136588,11669.80969,11669.80969,CAXVOO,UFF_DDEC
270,1194.5,786.991451,7.275006517,4.943218158,5.20E-06,5.20E-06,33794.59336,19430.90811,7.275006517,4.943218158,3.98E-05,3.98E-05,17093.6128,17093.6128,MUZHUL,UFF_DDEC
271,885.082,799.291929,1.843936197,12.49999993,7.48E-06,7.48E-06,33771.43483,28920.69871,1.843936197,12.49999993,9.88E-05,9.88E-05,15667.56998,15667.56998,XAJQAC,UFF_DDEC
272,1552.76,798.748517,3.214125274,1.300577427,5.56E-06,5.56E-06,31601.83182,19996.47726,3.214125274,1.300577427,8.49E-05,8.49E-05,16020.11721,16020.11721,GITWIQ,UFF_DDEC
273,1549.34,745.655552,2.315456992,1.340324958,3.92E-06,3.92E-06,37011.58905,25764.35559,2.315456992,1.340324958,1.38E-05,1.38E-05,20571.35773,20571.35773,HENYUV,UFF_DDEC
274,1979.03,708.140026,1.507606936,0.690034874,3.92E-06,3.92E-06,32241.47437,32241.45441,1.507606936,0.690034874,3.50E-05,3.50E-05,18385.22849,18385.22849,TEVZOK,UFF_DDEC
275,1091.99,923.217849,3.800378267,2.213231675,2.44E-06,2.44E-06,38813.03883,30194.99417,3.800378267,2.213231675,0.000106423,0.000106423,16788.42991,16788.42991,PIJJOI,UFF_DDEC
276,1744.26,826.78182,1.538322118,0.88686986,6.75E-06,6.75E-06,28989.42739,28989.29596,1.538322118,0.88686986,4.64E-05,4.64E-05,17121.40487,17121.40487,RATCUL01,UFF_DDEC
277,593.338,730.652086,12.5,12.5,5.76E-05,5.76E-05,17086.10977,15377.49879,12.5,12.5,0.00033038,0.00033038,7950.823249,7950.823249,EDUSIF,UFF_DDEC
278,1346.29,983.003686,1.28815627,0.398006632,6.13E-06,6.13E-06,38692.32069,29595.71173,1.28815627,0.398006632,0.000153105,0.000153105,17608.66849,17608.66849,HAJLUA,UFF_DDEC
279,1208,767.500522,6.07915419,3.765351042,5.44E-06,5.44E-06,35083.50535,22414.36454,6.07915419,3.765351042,0.000140757,0.000140757,14861.81503,14861.81503,ZnBDC,UFF_DDEC
280,1673.22,805.936817,2.775008181,1.364001772,4.59E-07,4.59E-07,41804.27442,30877.80862,2.775008181,1.364001772,2.73E-06,2.73E-06,24234.76171,24234.76171,EBOTOF,UFF_DDEC
281,1345.14,816.583333,4.779621766,1.956904732,6.11E-06,6.11E-06,31066.69464,19914.744,4.779621766,1.956904732,9.14E-05,9.14E-05,15308.94815,15308.94815,PENNUT,UFF_DDEC
282,1062.8,781.860681,9.460017547,4.10676055,3.42E-06,3.42E-06,34863.29195,19807.28461,9.460017547,4.10676055,0.000137089,0.000137089,14390.96778,14390.96778,GOGWAB,UFF_DDEC
283,1731.7,823.402855,1.452227158,0.958112074,8.70E-06,8.70E-06,28848.67439,28848.65618,1.452227158,0.958112074,4.22E-05,4.22E-05,17600.18655,17600.18655,NIKYUC,UFF_DDEC
284,1672.54,736.026604,2.912481233,1.067769214,1.74E-06,1.74E-06,37779.89543,31029.26676,2.912481233,1.067769214,1.99E-05,1.99E-05,18934.97706,18934.97706,KOMHAW,UFF_DDEC
285,1600.97,777.930011,1.962796102,1.064513154,7.40E-06,7.40E-06,36966.49059,26841.75429,1.962796102,1.064513154,9.74E-05,9.74E-05,19174.47708,19174.47708,XENMOU,UFF_DDEC
286,841.018,762.245632,5.143446845,10.60917138,7.89E-06,7.89E-06,29552.85004,29552.49227,5.143446845,10.60917138,9.86E-05,9.86E-05,13914.06907,13914.06907,XINFUW,UFF_DDEC
287,1207.51,885.899282,1.352077809,3.913674923,1.39E-06,1.39E-06,38358.81478,33598.06447,1.352077809,3.913674923,0.000141063,0.000141063,15785.76297,15785.76297,DOGZIJ,UFF_DDEC
288,1269.31,821.985489,3.45488076,2.609027547,1.88E-06,1.88E-06,39966.39489,31978.73575,3.45488076,2.609027547,0.000104868,0.000104868,17514.26198,17514.26198,MEJQEZ,UFF_DDEC
289,1165.69,744.758612,5.500349452,3.420619115,2.53E-05,2.53E-05,22149.38306,22149.15553,5.500349452,3.420619115,0.000163457,0.000163457,10710.9305,10710.9305,BEPNUH,UFF_DDEC
290,1344.79,834.295279,4.114013962,1.692466683,3.73E-06,3.73E-06,41279.91607,30275.37086,4.114013962,1.692466683,9.67E-05,9.67E-05,17790.06832,17790.06832,KIDDOS,UFF_DDEC
291,706.119,784.126746,12.5,12.5,0.000405713,0.000405713,16227.53033,16226.52889,12.5,12.5,0.000185236,0.000185236,10566.29121,10566.29121,KEFBEE,UFF_DDEC
292,2210.77,616.356056,2.906925071,0.387914194,1.31E-06,1.31E-06,43651.43574,37412.16495,2.906925071,0.387914194,2.48E-05,2.48E-05,22705.36267,22705.36267,PEJFOA,UFF_DDEC
293,1225.08,880.287458,4.154067434,1.988772787,8.35E-06,8.35E-06,33365.82791,23949.28313,4.154067434,1.988772787,7.55E-05,7.55E-05,16971.56071,16971.56071,TEBSAW,UFF_DDEC
294,893.987,894.443054,7.744422094,8.339338326,0.00012745,0.00012745,16324.29748,16323.03801,7.744422094,8.339338326,9.77E-05,9.77E-05,11907.85056,11907.85056,BEPMAM,UFF_DDEC
295,1181.92,841.769464,4.195345218,2.657556312,4.42E-06,4.42E-06,28941.09112,28941.07817,4.195345218,2.657556312,0.000238806,0.000238806,11884.46813,11884.46813,VACFUB01,UFF_DDEC
296,1566.19,819.517661,1.647692051,1.644934612,1.29E-06,1.29E-06,44997.87063,27079.93415,1.647692051,1.644934612,1.67E-05,1.67E-05,19834.96472,19834.96472,XOKHAH,UFF_DDEC
297,1517.4,885.673616,3.272317624,0.599999378,1.60E-06,1.60E-06,45000,33893.25709,3.272317624,0.599999378,8.84E-06,8.84E-06,23418.21637,23418.21637,RUFMUA,UFF_DDEC
298,702.067,862.163939,12.49999998,8.3012088,1.32E-05,1.32E-05,26650.2373,22826.12942,12.49999998,8.3012088,9.91E-05,9.91E-05,14023.36854,14023.36854,BUVYIB,UFF_DDEC
299,826.48,862.564105,10.51343125,7.256475256,6.61E-06,6.61E-06,26778.99544,26778.30573,10.51343125,7.256475256,0.000164194,0.000164194,11694.8263,11694.8263,MOF-1-Dybtsev-dmol,UFF_DDEC
300,1181.82,918.297738,2.794276048,1.293453409,1.61E-06,1.61E-06,44246.92054,34375.76682,2.794276048,1.293453409,0.000113998,0.000113998,18686.3122,18686.3122,LACGAZ,UFF_DDEC
301,1428.31,893.350769,2.100565599,2.600157704,3.78E-06,3.78E-06,35290.09663,20281.33967,2.100565599,2.600157704,1.13E-05,1.13E-05,20034.27188,20034.27188,PEGBEK01,UFF_DDEC
302,1243.61,828.676025,3.970948658,2.271673438,4.08E-06,4.08E-06,35389.37576,27506.01648,3.970948658,2.271673438,7.95E-05,7.95E-05,17615.7396,17615.7396,EDADIX,UFF_DDEC
303,1229.85,884.282284,1.981560713,1.525332027,3.02E-06,3.02E-06,40956.54594,28598.61288,1.981560713,1.525332027,6.45E-05,6.45E-05,19874.74952,19874.74952,UVAROZ,UFF_DDEC
304,1136.84,893.995813,2.008180472,3.462556316,7.68E-06,7.68E-06,34902.23094,27805.12526,2.008180472,3.462556316,0.000124801,0.000124801,16901.04016,16901.04016,GEDLIM,UFF_DDEC
305,1405.46,820.198295,1.920557111,2.096801999,1.74E-06,1.74E-06,37429.05297,32888.01348,1.920557111,2.096801999,8.16E-05,8.16E-05,17422.9871,17422.9871,OGAGAF,UFF_DDEC
306,594.947,711.83219,6.604436251,12.25968296,8.11E-05,8.11E-05,19244.51182,16434.69393,6.604436251,12.25968296,0.000444007,0.000444007,7826.317173,7826.317173,PEVPUD,UFF_DDEC
307,1194.18,950.366024,4.076896943,1.601969659,1.51E-06,1.51E-06,33590.87939,33590.34185,4.076896943,1.601969659,2.74E-05,2.74E-05,17844.78535,17844.78535,LEMNOH,UFF_DDEC
308,1462.05,739.59247,2.619303187,2.549906334,1.28E-06,1.28E-06,43473.17547,33014.55496,2.619303187,2.549906334,2.72E-05,2.72E-05,19525.60585,19525.60585,DAXKOE,UFF_DDEC
309,1433.44,928.257399,0.002481478,6.17E-09,1.78E-05,1.78E-05,18449.54707,16641.88814,0.002481478,6.17E-09,1.00E-09,1.00E-09,6000,6000,ISIMAZ,UFF_DDEC
310,1714.97,803.823874,1.418747178,0.265300718,3.64E-06,3.64E-06,41421.15279,34251.61362,1.418747178,0.265300718,9.07E-05,9.07E-05,19327.88321,19327.88321,QOKCID,UFF_DDEC
311,1272.76,891.195531,2.143183061,1.703489695,2.34E-06,2.34E-06,39301.40795,26971.74916,2.143183061,1.703489695,5.74E-05,5.74E-05,17277.87256,17277.87256,VONBIK,UFF_DDEC
312,1510.94,810.927021,1.231131185,2.06088135,1.44E-06,1.44E-06,38824.84253,33172.39449,1.231131185,2.06088135,5.94E-05,5.94E-05,17642.54037,17642.54037,XUYXAR,UFF_DDEC
313,634.446,785.14965,12.5,12.5,5.24E-05,5.24E-05,20466.58533,20466.58533,12.5,12.5,0.000155584,0.000155584,11022.97873,11022.97873,IYIHUU,UFF_DDEC
314,1085.08,755.150186,6.606067986,3.940227984,4.37E-06,4.37E-06,30128.06442,30127.31141,6.606067986,3.940227984,0.000136083,0.000136083,13702.96788,13702.96788,OFUYUL,UFF_DDEC
315,1518.56,795.271491,2.114548469,1.633783265,5.03E-06,5.03E-06,38135.29977,21726.82032,2.114548469,1.633783265,0.000136389,0.000136389,16908.56297,16908.56297,KAFTUI,UFF_DDEC
316,1419.67,812.666378,2.12387515,3.084758751,3.60E-06,3.60E-06,35357.49764,20714.95257,2.12387515,3.084758751,1.26E-05,1.26E-05,19593.42067,19593.42067,PEGBEK02,UFF_DDEC
317,607.75,871.362982,12.49999844,12.5,9.10E-06,9.10E-06,27137.73198,23811.67799,12.49999844,12.5,0.000130136,0.000130136,12075.55254,12075.55254,WONZUV,UFF_DDEC
318,1141.3,895.862289,5.380354298,0.873990675,4.35E-06,4.35E-06,34841.40829,22565.23544,5.380354298,0.873990675,8.13E-05,8.13E-05,18729.53338,18729.53338,PIXPET,UFF_DDEC
319,862.455,771.150002,12.49999987,3.483046334,1.05E-05,1.05E-05,30076.54282,27411.16777,12.49999987,3.483046334,0.000169096,0.000169096,13547.81019,13547.81019,QUQFIS,UFF_DDEC
320,1497.12,766.840644,2.124022435,0.79731413,6.24E-06,6.24E-06,35437.43469,27286.07934,2.124022435,0.79731413,0.000254744,0.000254744,16391.21664,16391.21664,BERGAI,UFF_DDEC
321,828.568,843.24947,10.05969813,6.480755117,7.02E-06,7.02E-06,27737.79526,27737.5328,10.05969813,6.480755117,0.000132261,0.000132261,12902.21869,12902.21869,FEFDAX,UFF_DDEC
322,508.54,875.487248,12.5,12.5,8.90E-05,8.90E-05,17152.44204,15437.19783,12.5,12.5,0.000363485,0.000363485,7892.804982,7892.804982,MIL-88C-open,UFF_DDEC
323,1455.52,799.378277,2.120924334,0.866318852,7.92E-06,7.92E-06,33711.89787,22455.67638,2.120924334,0.866318852,8.31E-05,8.31E-05,17957.45145,17957.45145,WECJAR,UFF_DDEC
324,1256.46,777.317447,4.808971579,2.493244836,4.00E-06,4.00E-06,38519.94515,28605.4823,4.808971579,2.493244836,8.48E-05,8.48E-05,18541.92288,18541.92288,HICVOG,UFF_DDEC
325,1776.12,757.02446,2.755490327,1.479317761,8.47E-06,8.47E-06,45000,33048.22006,2.755490327,1.479317761,0.000540756,0.000540756,18380.91437,18380.91437,GOMRAC,UFF_DDEC
326,591.684,701.705944,12.5,12.5,6.08E-05,6.08E-05,17090.39602,15381.35642,12.5,12.5,0.000311413,0.000311413,8094.050101,8094.050101,LAWGEW,UFF_DDEC
327,1210.16,907.821437,1.591828686,1.149339326,1.84E-06,1.84E-06,44618.51465,36185.52971,1.591828686,1.149339326,5.28E-05,5.28E-05,19399.03216,19399.03216,KINKAV,UFF_DDEC
328,1167.15,833.330515,3.57758948,3.746117938,5.13E-06,5.13E-06,34798.72189,27894.34943,3.57758948,3.746117938,8.79E-05,8.79E-05,16261.16539,16261.16539,KANDIO,UFF_DDEC
329,1353.2,769.935987,4.96274,1.47485,8.96E-07,8.96E-07,44479.09208,37382,4.96274,1.47485,2.96E-05,2.96E-05,1.96E+04,19555.966,PURSOK,UFF_DDEC
