,density,cp,qs1CO2,qs2CO2,b01CO2,b02CO2,H1CO2,H2CO2,qs1N2,qs2N2,b01N2,b02N2,H1N2,H2N2,material,Forcefield
207,874.3570000000001,784.51956,8.473890417462115,8.60409521960723,6.884092318531911e-05,6.884092318531911e-05,19073.697279074902,19072.48711366247,8.473890417462115,8.60409521960723,0.0001531855960827,0.0001531855960827,11680.686453597318,11680.686453597318,GACQAE,DRE_Neutral
208,1160.5700000000002,733.735425,8.087233483266699,0.5780909441279763,8.5934697114182e-06,8.5934697114182e-06,26623.27756981513,26622.502202674357,8.087233483266699,0.5780909441279763,0.0001509673352096,0.0001509673352096,13318.04442072931,13318.04442072931,LADHEF,DRE_Neutral
209,1194.1200000000001,872.713899,6.007521212452914,2.557285379888945,1.6493517790636e-05,1.6493517790636e-05,28589.174531989876,17678.184312534344,6.007521212452914,2.557285379888945,0.0001682139837714,0.0001682139837714,14721.21254987904,14721.21254987904,KAYBUJ,DRE_Neutral
210,941.1129999999999,866.21097,6.466853146077581,2.3234887731756486,2.02901789840121e-05,2.02901789840121e-05,26490.176282170774,26489.14790648641,6.466853146077581,2.3234887731756486,0.0001840798731784,0.0001840798731784,14472.344532389516,14472.344532389516,TIGDOD,DRE_Neutral
211,1293.1200000000001,836.4867700000001,3.181703027348411,4.510597208156156,1.2127096293168784e-05,1.2127096293168784e-05,32519.219373264248,17950.354053620707,3.181703027348411,4.510597208156156,8.044985970171466e-05,8.044985970171466e-05,17085.928722119334,17085.928722119334,TEPGUS,DRE_Neutral
212,1174.7,741.93623,6.951367737219391,2.96110216377634,8.202520945938616e-06,8.202520945938616e-06,29023.2214195172,19170.744251856937,6.951367737219391,2.96110216377634,9.3549997283827e-05,9.3549997283827e-05,14488.147234474722,14488.147234474722,XISVUR,DRE_Neutral
213,1032.8200000000002,793.912994,9.044900647888776,3.796591188278428,1.1365351050604132e-05,1.1365351050604132e-05,29501.965230012524,18591.635596496595,9.044900647888776,3.796591188278428,0.000156300964359,0.000156300964359,14686.83380955376,14686.83380955376,NAZBAT,DRE_Neutral
214,841.576,858.134832,8.334583315888827,6.350903776291152,2.335602268622931e-05,2.335602268622931e-05,23161.08687395148,23161.083313862666,8.334583315888827,6.350903776291152,0.000117950330302,0.000117950330302,13055.404016375083,13055.404016375083,KEWZOD,DRE_Neutral
215,602.423,680.382657,12.499999999980012,12.49999999983816,0.000106841543319,0.000106841543319,17770.746444761917,17770.310867550026,12.499999999980012,12.49999999983816,0.0003247527281566,0.0003247527281566,8073.413550399432,8073.413550399432,PEVQAK,DRE_Neutral
216,894.418,868.420509,8.139347120308736,4.891113731988823,3.5956581232668216e-05,3.5956581232668216e-05,21325.25443082707,21325.25172335039,8.139347120308736,4.891113731988823,0.0001126645756326,0.0001126645756326,13031.469421754602,13031.469421754602,PURJIW,DRE_Neutral
