,DDEC,EQeq,Qeq
400,0.963048,1.22100,0.434047
401,0.963807,1.22200,0.434047
402,1.078826,1.17600,0.434047
403,1.078826,1.17600,0.434047
404,1.017565,1.24000,0.452801
405,1.059937,1.19200,0.452801
406,1.017565,1.20100,0.452801
407,1.059937,1.20500,0.452801
408,0.981997,1.20400,0.452801
409,1.056535,1.21800,0.509483
410,1.056534,1.21800,0.509483
411,1.019608,1.19600,0.439655
412,0.98792,1.21000,0.439655
413,0.988631,1.20700,0.439655
414,1.019608,1.19600,0.439655
415,0.98792,1.21000,0.439655
416,0.988631,1.20700,0.439655
417,1.019608,1.19700,0.439655
418,0.98792,1.21100,0.439655
419,0.988631,1.20800,0.439655
420,1.019608,1.19700,0.439655
421,0.98792,1.21100,0.439655
422,0.988631,1.20800,0.439655
423,1.019608,1.19700,0.439655
424,0.98792,1.21100,0.439655
425,0.988631,1.20800,0.439655
426,1.019608,1.19700,0.439655
427,0.98792,1.21100,0.439655
428,0.988631,1.20800,0.439655
429,1.019608,1.19700,0.439655
430,0.98792,1.21100,0.439655
431,0.988631,1.20800,0.439655
432,1.019608,1.19700,0.439655
433,0.98792,1.21100,0.439655
434,0.988631,1.20800,0.439655
435,1.07417,1.17900,0.44126
436,1.074672,1.19900,0.44126
437,1.07417,1.18000,0.44126
438,1.074672,1.20600,0.44126
439,1.07417,1.17800,0.44126
440,1.074672,1.20400,0.44126
441,1.07417,1.17600,0.44126
442,1.074672,1.19500,0.44126
443,1.149555,1.20300,0.44126
444,1.149555,1.21800,0.44126
445,0.897204,1.21400,0.372143
446,0.278131,1.15500,0.372143
447,0.395392,1.16400,0.372143
448,0.897204,1.21400,0.372143
449,0.278131,1.15500,0.372143
450,0.395392,1.16300,0.372143
451,0.897204,1.21300,0.372143
452,0.278131,1.15400,0.372143
453,0.395392,1.16300,0.372143
454,0.897204,1.21300,0.372143
455,0.278131,1.15500,0.372143
456,0.395392,1.16300,0.372143
457,1.000519,1.21500,0.469608
458,0.986587,1.18400,0.469608
459,1.000519,1.22500,0.469608
460,0.986587,1.22600,0.469608
461,1.000519,1.21500,0.469608
462,0.986587,1.18500,0.469608
463,1.000519,1.22300,0.469608
464,0.986587,1.22500,0.469608
465,0.998622,1.19600,0.465486
466,0.998622,1.19600,0.465486
467,0.998622,1.19900,0.465486
468,0.998622,1.19900,0.465486
469,0.995513,1.22100,0.463392
470,0.995513,1.21600,0.463392
471,0.995514,1.22100,0.463392
472,0.995514,1.21600,0.463392
473,0.871476,1.20700,0.421129
474,0.871476,1.20700,0.421129
475,0.876382,1.21300,0.431992
476,0.876382,1.21300,0.431992
477,0.847918,1.17900,0.395589
478,0.847918,1.18500,0.395589
479,0.847918,1.17700,0.395589
480,0.847918,1.18500,0.395589
481,0.847918,1.17900,0.395589
482,0.847918,1.18500,0.395589
483,0.847918,1.17700,0.395589
484,0.847918,1.18500,0.395589
485,0.855268,1.18500,0.387392
486,0.806243,1.18200,0.387392
487,0.854893,1.18600,0.387392
488,0.806056,1.18200,0.387392
489,0.855268,1.18600,0.387392
490,0.806243,1.18200,0.387392
491,0.854893,1.18500,0.387392
492,0.806056,1.18200,0.387392
493,0.89645,1.21400,0.464779
494,1.073636,1.22700,0.464779
495,0.89742,1.21400,0.464779
496,1.073392,1.22800,0.464779
497,0.897252,1.20900,0.464779
498,1.073885,1.22900,0.464779
499,0.897,1.21500,0.464779
500,1.073519,1.22100,0.464779
501,0.852744,1.19600,0.404583
502,0.820753,1.19900,0.404583
503,0.779234,1.18700,0.404583
504,0.852743,1.19500,0.404583
505,0.820753,1.19800,0.404583
506,0.779234,1.18600,0.404583
507,1.03754,1.15100,0.404583
508,0.85821,1.20200,0.403803
509,0.990927,1.16500,0.403803
510,0.85821,1.20200,0.403803
511,0.990927,1.16500,0.403803
512,0.85821,1.20200,0.403803
513,0.990927,1.16500,0.403803
514,0.85821,1.20200,0.403803
515,0.990927,1.16500,0.403803
516,0.763263,1.18900,0.403803
517,0.763263,1.18900,0.403803
518,0.859574,1.19700,0.436644
519,0.874827,1.17100,0.436644
520,0.959901,1.16700,0.404098
521,0.86338,1.20100,0.404098
522,0.762853,1.19300,0.404098
523,1.004512,1.16900,0.404098
524,0.860585,1.20000,0.404098
525,0.959901,1.16500,0.404098
526,0.86338,1.20100,0.404098
527,0.762853,1.19400,0.404098
528,1.004512,1.16900,0.404098
529,0.860585,1.20200,0.404098
530,0.959902,1.16500,0.404098
531,0.86338,1.20100,0.404098
532,0.762853,1.19400,0.404098
533,1.004512,1.16900,0.404098
534,0.860585,1.20200,0.404098
535,0.959902,1.16600,0.404098
536,0.86338,1.20000,0.404098
